family,method,rna_types
RF01960,rna-type,rRNA
RF01962,so-term,lncRNA
RF01963,so-term,lncRNA
RF01964,so-term,lncRNA
RF01965,so-term,lncRNA
RF01966,so-term,lncRNA
RF01967,so-term,lncRNA
RF01968,so-term,lncRNA
RF01969,so-term,lncRNA
RF01970,so-term,lncRNA
RF01971,so-term,lncRNA
RF01972,so-term,lncRNA
RF01973,so-term,lncRNA
RF01974,so-term,lncRNA
RF01975,so-term,lncRNA
RF01976,so-term,lncRNA
RF01977,so-term,lncRNA
RF01978,so-term,lncRNA
RF01979,so-term,lncRNA
RF01981,so-term,lncRNA
RF01982,fallbacks,
RF01983,so-term,lncRNA
RF01984,so-term,lncRNA
RF01985,so-term,lncRNA
RF01986,so-term,lncRNA
RF01987,so-term,lncRNA
RF01988,fallbacks,
RF01989,fallbacks,
RF01990,fallbacks,
RF01991,fallbacks,
RF01992,rna-type,lncRNA
RF01996,so-term,precursor_RNA
RF01997,so-term,precursor_RNA
RF01998,name,autocatalytically_spliced_intron
RF01999,name,autocatalytically_spliced_intron
RF02000,so-term,precursor_RNA
RF02001,name,autocatalytically_spliced_intron
RF02002,so-term,precursor_RNA
RF02003,name,autocatalytically_spliced_intron
RF02004,name,autocatalytically_spliced_intron
RF02005,name,autocatalytically_spliced_intron
RF02006,so-term,precursor_RNA
RF02007,so-term,precursor_RNA
RF02008,so-term,precursor_RNA
RF02009,so-term,precursor_RNA
RF02010,so-term,precursor_RNA
RF02011,so-term,precursor_RNA
RF02012,name,autocatalytically_spliced_intron
RF02013,so-term,precursor_RNA
RF02014,so-term,precursor_RNA
RF02015,so-term,precursor_RNA
RF02016,so-term,precursor_RNA
RF02017,so-term,precursor_RNA
RF02018,so-term,precursor_RNA
RF02019,so-term,precursor_RNA
RF02020,so-term,precursor_RNA
RF02021,so-term,precursor_RNA
RF02022,so-term,precursor_RNA
RF02023,so-term,precursor_RNA
RF02024,so-term,precursor_RNA
RF02025,so-term,precursor_RNA
RF02026,so-term,precursor_RNA
RF02027,so-term,precursor_RNA
RF02028,so-term,precursor_RNA
RF02029,so-term,other
RF02030,so-term,other
RF02031,so-term,other
RF02032,fallbacks,
RF02033,fallbacks,
RF02034,fallbacks,
RF02035,fallbacks,
RF02036,fallbacks,
RF02037,fallbacks,
RF02038,so-term,lncRNA
RF02039,so-term,lncRNA
RF02040,so-term,lncRNA
RF02041,so-term,lncRNA
RF02042,so-term,lncRNA
RF02043,so-term,lncRNA
RF02044,so-term,lncRNA
RF02045,so-term,lncRNA
RF02046,so-term,lncRNA
RF02047,so-term,lncRNA
RF02048,rna-type,other
RF02049,rna-type,other
RF02050,rna-type,other
RF02051,rna-type,other
RF02052,rna-type,other
RF02053,rna-type,other
RF02054,rna-type,other
RF02055,rna-type,other
RF02056,rna-type,other
RF02057,rna-type,other
RF02058,fallbacks,
RF02059,rna-type,other
RF02060,rna-type,other
RF02061,so-term,precursor_RNA
RF02062,rna-type,other
RF02063,rna-type,other
RF02064,rna-type,other
RF02065,rna-type,other
RF02066,rna-type,other
RF02067,rna-type,other
RF02068,rna-type,other
RF02069,rna-type,other
RF02070,rna-type,other
RF02071,rna-type,other
RF02072,rna-type,other
RF02073,rna-type,other
RF02074,rna-type,other
RF02075,rna-type,other
RF02076,rna-type,other
RF02077,rna-type,other
RF02078,rna-type,other
RF02079,rna-type,other
RF02080,rna-type,other
RF02081,rna-type,other
RF02082,rna-type,other
RF02083,fallbacks,
RF02084,rna-type,other
RF02085,so-term,lncRNA
RF02086,so-term,lncRNA
RF02087,so-term,lncRNA
RF02088,rna-type,other
RF02089,so-term,lncRNA
RF02090,so-term,lncRNA
RF02091,so-term,lncRNA
RF02092,so-term,precursor_RNA
RF02093,so-term,precursor_RNA
RF02094,so-term,precursor_RNA
RF02095,so-term,precursor_RNA
RF02096,so-term,precursor_RNA
RF02097,so-term,precursor_RNA
RF02098,so-term,lncRNA
RF02099,rna-type,other
RF02100,rna-type,other
RF02101,so-term,lncRNA
RF02102,so-term,lncRNA
RF02103,so-term,lncRNA
RF02104,so-term,lncRNA
RF02105,so-term,lncRNA
RF02106,so-term,lncRNA
RF02107,so-term,lncRNA
RF02108,so-term,lncRNA
RF02109,so-term,lncRNA
RF02110,so-term,lncRNA
RF02111,so-term,other
RF02112,so-term,lncRNA
RF02113,so-term,lncRNA
RF02114,so-term,lncRNA
RF02115,so-term,lncRNA
RF02116,so-term,lncRNA
RF02117,so-term,lncRNA
RF02118,so-term,lncRNA
RF02119,so-term,lncRNA
RF02120,so-term,lncRNA
RF02121,so-term,lncRNA
RF02122,so-term,lncRNA
RF02123,so-term,lncRNA
RF02124,so-term,lncRNA
RF02125,so-term,lncRNA
RF02126,so-term,lncRNA
RF02127,so-term,lncRNA
RF02128,so-term,lncRNA
RF02129,so-term,lncRNA
RF02130,so-term,lncRNA
RF02131,so-term,lncRNA
RF02132,so-term,lncRNA
RF02133,so-term,lncRNA
RF02134,so-term,lncRNA
RF02135,so-term,lncRNA
RF02136,so-term,lncRNA
RF02137,so-term,lncRNA
RF02138,so-term,lncRNA
RF02139,so-term,lncRNA
RF02140,so-term,lncRNA
RF02141,so-term,lncRNA
RF02142,so-term,lncRNA
RF02143,so-term,lncRNA
RF02144,fallbacks,
RF02145,so-term,lncRNA
RF02146,so-term,lncRNA
RF02147,so-term,lncRNA
RF02148,so-term,lncRNA
RF02149,so-term,lncRNA
RF02150,so-term,lncRNA
RF02151,so-term,lncRNA
RF02153,so-term,lncRNA
RF02154,so-term,lncRNA
RF02155,so-term,lncRNA
RF02156,so-term,lncRNA
RF02157,so-term,lncRNA
RF02158,so-term,lncRNA
RF02159,so-term,lncRNA
RF02160,so-term,lncRNA
RF02161,so-term,lncRNA
RF02162,fallbacks,
RF02163,rna-type,snoRNA
RF02164,so-term,lncRNA
RF02165,so-term,lncRNA
RF02166,so-term,lncRNA
RF02167,so-term,lncRNA
RF02168,so-term,lncRNA
RF02169,so-term,lncRNA
RF02170,so-term,lncRNA
RF02171,so-term,lncRNA
RF02172,so-term,lncRNA
RF02173,so-term,lncRNA
RF02174,so-term,lncRNA
RF02175,so-term,lncRNA
RF02176,so-term,lncRNA
RF02177,so-term,lncRNA
RF02178,so-term,lncRNA
RF02179,so-term,lncRNA
RF02180,so-term,lncRNA
RF02181,so-term,lncRNA
RF02182,so-term,lncRNA
RF02183,so-term,lncRNA
RF02184,so-term,lncRNA
RF02185,so-term,lncRNA
RF02186,so-term,lncRNA
RF02187,so-term,lncRNA
RF02188,so-term,lncRNA
RF02189,so-term,lncRNA
RF02190,so-term,lncRNA
RF02191,so-term,lncRNA
RF02192,so-term,lncRNA
RF02193,so-term,lncRNA
RF02194,so-term,antisense_RNA
RF02195,so-term,lncRNA
RF02196,so-term,lncRNA
RF02197,so-term,lncRNA
RF02198,so-term,lncRNA
RF02199,so-term,lncRNA
RF02200,so-term,lncRNA
RF02201,so-term,lncRNA
RF02202,so-term,lncRNA
RF02203,so-term,lncRNA
RF02204,so-term,lncRNA
RF02205,so-term,lncRNA
RF02206,so-term,lncRNA
RF02207,so-term,lncRNA
RF02208,so-term,lncRNA
RF02209,so-term,lncRNA
RF02210,so-term,lncRNA
RF02211,so-term,lncRNA
RF02212,so-term,lncRNA
RF02213,so-term,lncRNA
RF02214,so-term,precursor_RNA
RF02215,so-term,lncRNA
RF02216,so-term,lncRNA
RF02217,so-term,lncRNA
RF02218,so-term,lncRNA
RF02219,so-term,lncRNA
RF02220,so-term,lncRNA
RF02221,so-term,other
RF02222,rna-type,other
RF02223,rna-type,other
RF02224,rna-type,other
RF02225,rna-type,other
RF02226,rna-type,other
RF02227,rna-type,other
RF02228,rna-type,other
RF02230,rna-type,other
RF02231,rna-type,other
RF02232,rna-type,other
RF02233,rna-type,other
RF02234,rna-type,other
RF02235,so-term,antisense_RNA
RF02236,so-term,antisense_RNA
RF02237,so-term,antisense_RNA
RF02238,so-term,antisense_RNA
RF02239,so-term,antisense_RNA
RF02240,rna-type,other
RF02241,rna-type,other
RF02242,rna-type,other
RF02243,rna-type,other
RF02244,so-term,precursor_RNA
RF02245,so-term,precursor_RNA
RF02246,so-term,lncRNA
RF02247,so-term,lncRNA
RF02248,so-term,lncRNA
RF02249,so-term,lncRNA
RF02250,so-term,lncRNA
RF02251,so-term,lncRNA
RF02252,so-term,lncRNA
RF02253,fallbacks,
RF02254,so-term,precursor_RNA
RF02255,so-term,lncRNA
RF02256,so-term,lncRNA
RF02257,so-term,lncRNA
RF02258,so-term,lncRNA
RF02259,so-term,lncRNA
RF02260,fallbacks,
RF02261,fallbacks,
RF02262,fallbacks,
RF02263,fallbacks,
RF02264,fallbacks,
RF02265,fallbacks,
RF02266,so-term,other
RF02267,so-term,lncRNA
RF02268,rna-type,other
RF02269,rna-type,other
RF02270,fallbacks,
RF02271,so-term,other
RF02272,so-term,lncRNA
RF02273,fallbacks,
RF02274,fallbacks,
RF02275,name,hammerhead_ribozyme
RF02276,name,hammerhead_ribozyme
RF02277,name,hammerhead_ribozyme
RF02278,rna-type,other
RF02279,rna-type,snoRNA
RF02280,rna-type,snoRNA
RF02281,rna-type,snoRNA
RF02282,rna-type,snoRNA
RF02283,rna-type,snoRNA
RF02284,rna-type,snoRNA
RF02285,rna-type,snoRNA
RF02286,rna-type,snoRNA
RF02287,rna-type,snoRNA
RF02288,rna-type,snoRNA
RF02289,rna-type,snoRNA
RF02290,rna-type,snoRNA
RF02291,rna-type,snoRNA
RF02292,rna-type,snoRNA
RF02293,rna-type,snoRNA
RF02294,rna-type,snoRNA
RF02295,rna-type,snoRNA
RF02296,rna-type,snoRNA
RF02297,rna-type,snoRNA
RF02298,rna-type,snoRNA
RF02299,rna-type,snoRNA
RF02300,rna-type,snoRNA
RF02301,rna-type,snoRNA
RF02302,rna-type,snoRNA
RF02303,rna-type,snoRNA
RF02304,rna-type,snoRNA
RF02305,rna-type,snoRNA
RF02306,rna-type,snoRNA
RF02307,rna-type,snoRNA
RF02308,rna-type,snoRNA
RF02309,rna-type,snoRNA
RF02310,rna-type,snoRNA
RF02311,rna-type,snoRNA
RF02312,rna-type,snoRNA
RF02313,rna-type,snoRNA
RF02314,rna-type,snoRNA
RF02315,rna-type,snoRNA
RF02316,rna-type,snoRNA
RF02317,rna-type,snoRNA
RF02318,rna-type,snoRNA
RF02319,rna-type,snoRNA
RF02320,rna-type,snoRNA
RF02321,rna-type,snoRNA
RF02322,rna-type,snoRNA
RF02323,rna-type,snoRNA
RF02324,rna-type,snoRNA
RF02325,rna-type,snoRNA
RF02326,rna-type,snoRNA
RF02327,rna-type,snoRNA
RF02328,rna-type,snoRNA
RF02329,rna-type,snoRNA
RF02330,rna-type,snoRNA
RF02331,rna-type,snoRNA
RF02332,rna-type,snoRNA
RF02333,rna-type,snoRNA
RF02334,rna-type,snoRNA
RF02335,so-term,precursor_RNA
RF02336,so-term,precursor_RNA
RF02337,so-term,precursor_RNA
RF02338,so-term,precursor_RNA
RF02339,so-term,precursor_RNA
RF02340,fallbacks,
RF02341,rna-type,other
RF02342,rna-type,other
RF02343,rna-type,other
RF02344,rna-type,other
RF02345,rna-type,other
RF02346,rna-type,other
RF02347,rna-type,other
RF02348,so-term,other
RF02349,rna-type,other
RF02350,rna-type,other
RF02351,rna-type,other
RF02353,rna-type,other
RF02354,rna-type,other
RF02355,rna-type,other
RF02356,rna-type,other
RF02357,so-term,ribozyme
RF02358,fallbacks,
RF02359,fallbacks,
RF02360,rna-type,other
RF02362,rna-type,other
RF02363,rna-type,other
RF02364,rna-type,other
RF02365,rna-type,other
RF02366,rna-type,other
RF02367,rna-type,other
RF02368,rna-type,other
RF02369,rna-type,other
RF02370,fallbacks,
RF02371,fallbacks,
RF02372,fallbacks,
RF02373,fallbacks,
RF02374,rna-type,other
RF02375,rna-type,other
RF02376,rna-type,other
RF02377,rna-type,other
RF02378,rna-type,other
RF02379,rna-type,other
RF02384,rna-type,other
RF02385,rna-type,other
RF02386,rna-type,other
RF02387,rna-type,other
RF02388,rna-type,other
RF02389,rna-type,other
RF02390,rna-type,other
RF02391,rna-type,other
RF02392,rna-type,other
RF02393,rna-type,other
RF02394,rna-type,other
RF02395,rna-type,other
RF02396,rna-type,other
RF02397,rna-type,other
RF02398,rna-type,other
RF02399,rna-type,other
RF02400,fallbacks,
RF02401,fallbacks,
RF02402,rna-type,snoRNA
RF02403,rna-type,snoRNA
RF02404,rna-type,other
RF02405,rna-type,other
RF02406,rna-type,snoRNA
RF02407,rna-type,snoRNA
RF02408,rna-type,snoRNA
RF02409,rna-type,snoRNA
RF02410,rna-type,snoRNA
RF02411,rna-type,snoRNA
RF02412,rna-type,snoRNA
RF02413,rna-type,snoRNA
RF02414,rna-type,other
RF02415,rna-type,other
RF02416,fallbacks,
RF02417,rna-type,other
RF02418,rna-type,other
RF02419,rna-type,other
RF02420,rna-type,other
RF02421,rna-type,other
RF02422,rna-type,other
RF02423,rna-type,other
RF02424,rna-type,other
RF02425,rna-type,other
RF02426,rna-type,other
RF02427,rna-type,other
RF02428,rna-type,other
RF02429,rna-type,other
RF02430,rna-type,other
RF02431,rna-type,other
RF02432,rna-type,other
RF02433,rna-type,other
RF02434,rna-type,other
RF02435,rna-type,other
RF02436,rna-type,other
RF02437,rna-type,other
RF02438,rna-type,other
RF02439,rna-type,other
RF02440,rna-type,other
RF02441,rna-type,other
RF02442,rna-type,other
RF02443,rna-type,other
RF02444,rna-type,other
RF02445,rna-type,other
RF02446,rna-type,other
RF02447,rna-type,other
RF02448,rna-type,other
RF02449,rna-type,other
RF02450,rna-type,other
RF02451,rna-type,other
RF02452,rna-type,other
RF02453,rna-type,other
RF02454,rna-type,other
RF02455,fallbacks,
RF02456,fallbacks,
RF02457,fallbacks,
RF02458,fallbacks,
RF02459,fallbacks,
RF02460,fallbacks,
RF02461,fallbacks,
RF02462,name,telomerase_RNA
RF02463,rna-type,other
RF02464,rna-type,other
RF02465,rna-type,other
RF02466,rna-type,other
RF02467,rna-type,other
RF02468,rna-type,other
RF02469,rna-type,other
RF02470,rna-type,other
RF02471,rna-type,other
RF02472,name,RNase_MRP_RNA
RF02473,rna-type,snoRNA
RF02474,rna-type,snoRNA
RF02475,rna-type,snoRNA
RF02476,rna-type,snoRNA
RF02477,rna-type,snoRNA
RF02478,rna-type,snoRNA
RF02479,rna-type,snoRNA
RF02480,rna-type,snoRNA
RF02481,rna-type,snoRNA
RF02482,rna-type,snoRNA
RF02483,rna-type,snoRNA
RF02484,rna-type,snoRNA
RF02485,rna-type,snoRNA
RF02486,rna-type,snoRNA
RF02487,rna-type,snoRNA
RF02488,rna-type,snoRNA
RF02489,rna-type,snoRNA
RF02490,rna-type,snoRNA
RF02491,so-search,snRNA
RF02492,so-search,snRNA
RF02493,so-search,snRNA
RF02494,so-search,snRNA
RF02495,so-term,other
RF02496,rna-type,other
RF02497,rna-type,other
RF02498,rna-type,other
RF02499,rna-type,other
RF02500,rna-type,other
RF02501,rna-type,other
RF02502,rna-type,other
RF02503,rna-type,other
RF02504,rna-type,other
RF02505,rna-type,other
RF02506,rna-type,other
RF02507,rna-type,other
RF02508,rna-type,other
RF02509,fallbacks,
RF02510,fallbacks,
RF02511,fallbacks,
RF02512,fallbacks,
RF02513,fallbacks,
RF02514,rna-type,other
RF02515,rna-type,other
RF02516,so-term,precursor_RNA
RF02517,so-term,precursor_RNA
RF02518,so-term,precursor_RNA
RF02519,so-term,antisense_RNA
RF02520,so-term,precursor_RNA
RF02521,fallbacks,
RF02522,fallbacks,
RF02523,fallbacks,
RF02524,rna-type,other
RF02525,rna-type,other
RF02526,rna-type,other
RF02527,rna-type,other
RF02528,rna-type,other
RF02529,rna-type,other
RF02530,fallbacks,
RF02531,fallbacks,
RF02532,fallbacks,
RF02533,fallbacks,
RF02534,fallbacks,
RF02535,fallbacks,
RF02536,fallbacks,
RF02537,rna-type,other
RF02538,rna-type,other
RF02539,rna-type,snoRNA
RF02540,rna-type,rRNA
RF02541,rna-type,rRNA
RF02542,rna-type,rRNA
RF02543,rna-type,rRNA
RF02544,name,tmRNA
RF02545,rna-type,rRNA
RF02546,rna-type,rRNA
RF02547,rna-type,rRNA
RF02548,fallbacks,
RF02549,fallbacks,
RF02550,so-term,antisense_RNA
RF02551,so-term,other
RF02552,so-term,other
RF02553,so-term,Y_RNA
RF02554,rna-type,rRNA
RF02555,rna-type,rRNA
RF02556,so-term,other
RF02557,so-term,other
RF02558,so-term,antisense_RNA
RF02559,so-term,antisense_RNA
RF02560,so-term,antisense_RNA
RF02561,so-term,other
RF02562,so-term,other
RF02563,so-term,antisense_RNA
RF02564,so-term,other
RF02565,so-term,Y_RNA
RF02566,so-term,other
RF02567,so-term,other
RF02568,so-term,other
RF02569,so-term,other
RF02570,so-term,other
RF02571,so-term,other
RF02572,fallbacks,
RF02573,so-term,other
RF02574,so-term,other
RF02575,so-term,other
RF02576,so-term,other
RF02577,so-term,other
RF02578,so-term,other
RF02579,so-term,other
RF02580,so-term,other
RF02581,so-term,other
RF02582,so-term,other
RF02583,so-term,other
RF02584,fallbacks,
RF02585,fallbacks,
RF02586,fallbacks,
RF02587,fallbacks,
RF02588,fallbacks,
RF02589,so-term,other
RF02590,so-term,other
RF02591,so-term,other
RF02592,so-term,antisense_RNA
RF02593,so-term,other
RF02594,so-term,other
RF02595,so-term,other
RF02596,so-term,other
RF02597,fallbacks,
RF02598,so-term,other
RF02599,so-term,other
RF02600,so-term,other
RF02601,so-term,other
RF02602,so-term,other
RF02603,so-term,other
RF02604,so-term,other
RF02605,so-term,other
RF02606,so-term,other
RF02607,so-term,other
RF02608,so-term,other
RF02609,so-term,other
RF02610,so-term,other
RF02611,so-term,other
RF02612,so-term,other
RF02613,so-term,other
RF02614,so-term,other
RF02615,so-term,other
RF02616,so-term,other
RF02617,so-term,other
RF02618,so-term,other
RF02619,so-term,other
RF02620,so-term,other
RF02621,so-term,other
RF02622,so-term,other
RF02623,so-term,other
RF02624,so-term,other
RF02625,so-term,other
RF02626,so-term,other
RF02627,so-term,other
RF02628,so-term,other
RF02629,so-term,other
RF02630,so-term,other
RF02631,so-term,other
RF02632,so-term,other
RF02633,so-term,other
RF02634,so-term,other
RF02635,so-term,other
RF02636,so-term,other
RF02637,so-term,other
RF02638,so-term,other
RF02639,so-term,other
RF02640,so-term,other
RF02641,so-term,other
RF02642,so-term,other
RF02643,so-term,other
RF02644,so-term,other
RF02645,so-term,other
RF02646,so-term,other
RF02647,so-term,other
RF02648,so-term,other
RF02649,so-term,other
RF02650,so-term,other
RF02651,so-term,other
RF02652,so-term,other
RF02653,so-term,other
RF02654,so-term,other
RF02655,so-term,other
RF02656,so-term,other
RF02657,so-term,other
RF02658,fallbacks,
RF02659,so-term,other
RF02660,fallbacks,
RF02661,fallbacks,
RF02662,so-term,antisense_RNA
RF02663,fallbacks,
RF02664,fallbacks,
RF02665,so-term,snoRNA
RF02666,so-term,snoRNA
RF02667,so-term,snoRNA
RF02668,so-term,snoRNA
RF02669,so-term,snoRNA
RF02670,so-term,snoRNA
RF02671,so-term,other
RF02672,so-term,other
RF02673,so-term,other
RF02674,so-term,antisense_RNA
RF02675,so-term,other
RF02676,so-term,other
RF02677,so-term,other
RF02678,so-term,ribozyme
RF02679,so-term,ribozyme
RF02680,fallbacks,
RF02681,so-term,ribozyme
RF02682,so-term,ribozyme
